output_id,link,output_name,project,type,metric_type,count,retrieved_date,status
o067,https://doi.org/10.22148/001c.116915,A Counterfactual Canon,Shakespeare and Company,Publication,Citation Count,2,2026-08-20,ok
o067,https://doi.org/10.22148/001c.116915,A Counterfactual Canon,Shakespeare and Company,Publication,Views,,2026-08-20,manual
o067,https://doi.org/10.22148/001c.116915,A Counterfactual Canon,Shakespeare and Company,Publication,Downloads,,2026-08-20,manual
o071,https://doi.org/10.5281/zenodo.3277319,Documents to Data: the evolution of approaches to a library archive,Shakespeare and Company,Presentation / Poster,Views,333,2026-08-20,ok
o071,https://doi.org/10.5281/zenodo.3277319,Documents to Data: the evolution of approaches to a library archive,Shakespeare and Company,Presentation / Poster,Downloads,225,2026-08-20,ok
o076,https://doi.org/10.22148/jca.1114,"Shakespeare and Company Project Data Sets, Version 2.0",Shakespeare and Company,Publication,Views,,2026-08-20,manual
o076,https://doi.org/10.22148/jca.1114,"Shakespeare and Company Project Data Sets, Version 2.0",Shakespeare and Company,Publication,Downloads,,2026-08-20,manual
o010,https://doi.org/10.63744/cTWwVSItf41f,Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library,Princeton Prosody Archive,Publication,Views,,2026-08-20,manual
o010,https://doi.org/10.63744/cTWwVSItf41f,Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library,Princeton Prosody Archive,Publication,Downloads,,2026-08-20,manual
o011,https://doi.org/10.5281/zenodo.15312547,corppa,Princeton Prosody Archive,Software Release,Views,37,2026-08-20,ok
o011,https://doi.org/10.5281/zenodo.15312547,corppa,Princeton Prosody Archive,Software Release,Downloads,18,2026-08-20,ok
o032,https://doi.org/10.5281/zenodo.3255052,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,Princeton Prosody Archive,Dataset,Views,818,2026-08-20,ok
o032,https://doi.org/10.5281/zenodo.3255052,Princeton Prosody Archive Dataset Generated from T. V. F. Brogan's Original Bibliography,Princeton Prosody Archive,Dataset,Downloads,402,2026-08-20,ok
o034,https://prosody.princeton.edu/,Princeton Prosody Archive Website,Princeton Prosody Archive,Website,Views,,2026-08-20,manual
o034,https://prosody.princeton.edu/,Princeton Prosody Archive Website,Princeton Prosody Archive,Website,Downloads,,2026-08-20,manual
o035,https://doi.org/10.5281/zenodo.2400704,ppa-django,Princeton Prosody Archive,Software Release,Views,28,2026-08-20,ok
o035,https://doi.org/10.5281/zenodo.2400704,ppa-django,Princeton Prosody Archive,Software Release,Downloads,19,2026-08-20,ok
o036,https://doi.org/10.5281/zenodo.13850967,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,Princeton Prosody Archive,Presentation / Poster,Views,267,2026-08-20,ok
o036,https://doi.org/10.5281/zenodo.13850967,Beyond the Walled Gardens: Reinventing the Digital Research Landscape with the Princeton Prosody Archive,Princeton Prosody Archive,Presentation / Poster,Downloads,202,2026-08-20,ok
o037,https://doi.org/10.5281/zenodo.12575879,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,Princeton Prosody Archive,Presentation / Poster,Views,232,2026-08-20,ok
o037,https://doi.org/10.5281/zenodo.12575879,Working around Walled Gardens: The Princeton Prosody Archive as Workflow,Princeton Prosody Archive,Presentation / Poster,Downloads,211,2026-08-20,ok
o038,https://doi.org/10.5281/zenodo.8292322,Elizabeth Barrett Browning's Pathways through the PPA,Princeton Prosody Archive,Publication,Views,111,2026-08-20,ok
o038,https://doi.org/10.5281/zenodo.8292322,Elizabeth Barrett Browning's Pathways through the PPA,Princeton Prosody Archive,Publication,Downloads,203,2026-08-20,ok
o060,https://doi.org/10.5281/zenodo.8292370,Coventry Patmore and the Problem of Excerpts,Princeton Prosody Archive,Publication,Views,128,2026-08-20,ok
o060,https://doi.org/10.5281/zenodo.8292370,Coventry Patmore and the Problem of Excerpts,Princeton Prosody Archive,Publication,Downloads,125,2026-08-20,ok
o066,https://doi.org/10.5281/zenodo.3359171,CDH Project Charter — Princeton Prosody Archive 2017-18,Princeton Prosody Archive,Grey Literature,Views,844,2026-08-20,ok
o066,https://doi.org/10.5281/zenodo.3359171,CDH Project Charter — Princeton Prosody Archive 2017-18,Princeton Prosody Archive,Grey Literature,Downloads,478,2026-08-20,ok
o074,https://doi.org/10.5281/zenodo.20044416,PPA Found Poems Dataset,Princeton Prosody Archive,Dataset,Views,138,2026-08-20,ok
o074,https://doi.org/10.5281/zenodo.20044416,PPA Found Poems Dataset,Princeton Prosody Archive,Dataset,Downloads,125,2026-08-20,ok
o075,https://press.princeton.edu/books/paperback/9780691254678/poetrys-data,Poetry's Data,Princeton Prosody Archive,Publication,Citation Count,1,2026-08-20,ok
o085,https://doi.org/10.5281/zenodo.17049420,Princeton Prosody Archive: Rebuilding the Collection and User Interface,Princeton Prosody Archive,Presentation / Poster,Views,254,2026-08-20,ok
o085,https://doi.org/10.5281/zenodo.17049420,Princeton Prosody Archive: Rebuilding the Collection and User Interface,Princeton Prosody Archive,Presentation / Poster,Downloads,613,2026-08-20,ok
o089,https://doi.org/10.5281/zenodo.18187580,Unstable Data and the Unusual Case of the Prosody Excerpt in the Digital Library (poster),Princeton Prosody Archive,Presentation / Poster,Views,244,2026-08-20,ok
